C,MFCC_Feature_Num,Accuracy
13,45,0.308
13,46,0.331
13,47,0.318
13,48,0.329
13,49,0.343
13,50,0.321
13,51,0.349
13,52,0.329
13,53,0.311
13,54,0.348
14,45,0.335
14,46,0.316
14,47,0.31
14,48,0.337
14,49,0.343
14,50,0.273
14,51,0.327
14,52,0.316
14,53,0.336
14,54,0.321
15,45,0.333
15,46,0.271
15,47,0.325
15,48,0.343
15,49,0.324
15,50,0.276
15,51,0.327
15,52,0.349
15,53,0.363
15,54,0.332
16,45,0.319
16,46,0.324
16,47,0.304
16,48,0.319
16,49,0.302
16,50,0.372
16,51,0.318
16,52,0.328
16,53,0.334
16,54,0.351
17,45,0.341
17,46,0.317
17,47,0.326
17,48,0.29
17,49,0.331
17,50,0.329
17,51,0.301
17,52,0.32
17,53,0.316
17,54,0.344
18,45,0.304
18,46,0.343
18,47,0.291
18,48,0.313
18,49,0.347
18,50,0.281
18,51,0.338
18,52,0.296
18,53,0.317
18,54,0.331
19,45,0.32
19,46,0.318
19,47,0.331
19,48,0.34
19,49,0.321
19,50,0.338
19,51,0.296
19,52,0.313
19,53,0.361
19,54,0.321
